Vegetation Type;CO2;Cal_per_hr
Dune fynbos-thicket mos.;180;62,66341441
Dune fynbos-thicket mos.;400;24
Dune fynbos-thicket mos.;300;18,32491969
Dune fynbos-thicket mos.;240;14,47842129
Dune fynbos-thicket mos.;180;10,30083525
Dune fynbos-thicket mos.;400;37
Dune fynbos-thicket mos.;300;28,25091785
Dune fynbos-thicket mos.;240;22,3208995
Dune fynbos-thicket mos.;180;15,88045434
Dune fynbos-thicket mos.;400;93
Dune fynbos-thicket mos.;300;71,00906379
Dune fynbos-thicket mos.;240;56,10388251
Dune fynbos-thicket mos.;180;39,91573658
Dune fynbos-thicket mos.;400;124
Dune fynbos-thicket mos.;300;94,67875172
Dune fynbos-thicket mos.;240;74,80517669
Dune fynbos-thicket mos.;180;53,2209821
Dune fynbos-thicket mos.;400;0
Dune fynbos-thicket mos.;300;0
Dune fynbos-thicket mos.;240;0
Dune fynbos-thicket mos.;180;0
Dune fynbos-thicket mos.;400;0
Dune fynbos-thicket mos.;300;0
Dune fynbos-thicket mos.;240;0
Dune fynbos-thicket mos.;180;0
Dune fynbos-thicket mos.;400;740
Dune fynbos-thicket mos.;300;565,018357
Dune fynbos-thicket mos.;240;446,4179899
Dune fynbos-thicket mos.;180;317,6090867
Dune fynbos-thicket mos.;400;47
Dune fynbos-thicket mos.;300;35,88630106
Dune fynbos-thicket mos.;240;28,35357503
Dune fynbos-thicket mos.;180;20,17246902
Dune fynbos-thicket mos.;400;190
Dune fynbos-thicket mos.;300;145,0722809
Dune fynbos-thicket mos.;240;114,6208352
Dune fynbos-thicket mos.;180;81,54827903
Dune fynbos-thicket mos.;400;48
Dune fynbos-thicket mos.;300;36,64983938
Dune fynbos-thicket mos.;240;28,95684259
Dune fynbos-thicket mos.;180;20,60167049
Dune fynbos-thicket mos.;400;34
Dune fynbos-thicket mos.;300;25,96030289
Dune fynbos-thicket mos.;240;20,51109683
Dune fynbos-thicket mos.;180;14,59284993
Dune fynbos-thicket mos.;400;41
Dune fynbos-thicket mos.;300;31,30507113
Dune fynbos-thicket mos.;240;24,73396971
Dune fynbos-thicket mos.;180;17,59726021
Dune fynbos-thicket mos.;400;0
Dune fynbos-thicket mos.;300;0
Dune fynbos-thicket mos.;240;0
Dune fynbos-thicket mos.;180;0
Dune fynbos-thicket mos.;400;39
Dune fynbos-thicket mos.;300;29,77799449
Dune fynbos-thicket mos.;240;23,5274346
Dune fynbos-thicket mos.;180;16,73885727
Dune fynbos-thicket mos.;400;0
Dune fynbos-thicket mos.;300;0
Dune fynbos-thicket mos.;240;0
Dune fynbos-thicket mos.;180;0
